title,story_tri_part_text,acceptance_criteria,ac_readability_score,conversation,backlog_parent,convo_readability_score,autoscoring_on,archive_indicator,readiness_quality_score,story_points,user_story_status,User_story_type,ar_user,owner,created_by,created_dt,updated_dt,updated_by,organization_name,attachments
None,,,0,,None,0,False,False,0,None,None,None,None,None,Praveen,2020-07-23 06:34:51.232146+00:00,2020-07-23 06:34:51.232135+00:00,Praveen,Digimonk,
Enroll Partner,As a Partner Manager I want to enroll a qualified partner,,0,,Mmasters API Pilot (example),0,False,False,53,None,Pending,None,None,Praveen,Praveen,2020-07-23 06:34:52.680950+00:00,2020-07-23 06:34:52.680944+00:00,Praveen,Digimonk,
Disenroll Partner,As a proxy-test-partner-user I want to display so that I can recieve an audit,subject,36,subject,Mmasters API Pilot (example),36,False,False,70,None,Pending,None,None,Praveen,Praveen,2020-07-23 06:34:53.579983+00:00,2020-07-23 06:34:53.579977+00:00,Praveen,Digimonk,
Disenroll Partner-1,As a Eagle I want to glide so that I can manage partners,testing,36,,Mmasters API Pilot (example),0,False,False,88,None,None,None,None,Praveen,Praveen,2020-07-23 06:34:54.047127+00:00,2020-07-23 06:34:54.047121+00:00,Praveen,Digimonk,
Disenroll Partner-2,As a Partner Manager I require disenrollment so that I can manage partners,,0,,Mmasters API Pilot (example),0,False,False,68,None,None,None,None,Praveen,Praveen,2020-07-23 06:34:54.078310+00:00,2020-07-23 06:34:54.078305+00:00,Praveen,Digimonk,
Submit Rpt,As a proxy-test-partner-user I want to select a Type1 report so that I can send it,,0,,Mmasters API Pilot (example),0,False,False,65,None,Pending,None,None,Praveen,Praveen,2020-07-23 06:34:54.109786+00:00,2020-07-23 06:34:54.109780+00:00,Praveen,Digimonk,
Submit Rpt -1,As a proxy-test-partner-user I want to display available Type1 reports so that I can select which to review before sending,,0,,Mmasters API Pilot (example),0,False,False,60,None,None,None,None,Praveen,Praveen,2020-07-23 06:34:54.140899+00:00,2020-07-23 06:34:54.140894+00:00,Praveen,Digimonk,
Submit Rpt -2,As a proxy-test-partner-user I want to review all sent Type1 reports for a custom time period so that I can support an audit,,0,,Mmasters API Pilot (example),0,False,False,60,None,Pending,None,None,Praveen,Praveen,2020-07-23 06:34:54.172794+00:00,2020-07-23 06:34:54.172789+00:00,Praveen,Digimonk,
Submit Rpt -3,As a proxy-test-partner-user I want to review all sent Type1 reports for a custom time period so that I can receive an audit,,0,,Mmasters API Pilot (example),0,False,False,60,None,None,None,None,Praveen,Praveen,2020-07-23 06:34:54.203952+00:00,2020-07-23 06:34:54.203947+00:00,Praveen,Digimonk,
Bird takes flight,Bird,,0,,Backlog One for P1 (example),0,False,False,15,None,Pending,None,None,Praveen,Praveen,2020-07-23 06:34:54.235839+00:00,2020-07-23 06:34:54.235833+00:00,Praveen,Digimonk,
Enroll Partner-1,As a Partner Manager I want to enroll a qualified partner so that I can access new FedReserve reporting screens,,0,,Mmasters API Pilot (example),0,False,False,63,None,Pending,None,None,Praveen,Praveen,2020-07-23 06:34:54.267227+00:00,2020-07-23 06:34:54.267221+00:00,Praveen,Digimonk,
Bird takes flight-1,As a Bird takes flight,,0,,Backlog One for P1 (example),0,False,False,30,None,None,None,None,Praveen,Praveen,2020-07-23 06:34:54.301057+00:00,2020-07-23 06:34:54.301052+00:00,Praveen,Digimonk,
Bird takes flight-2,As a Bird I want to flap my wings,,0,,Backlog One for P1 (example),0,False,False,45,None,None,None,None,Praveen,Praveen,2020-07-23 06:34:54.332237+00:00,2020-07-23 06:34:54.332231+00:00,Praveen,Digimonk,
Bird takes flight-3,As a Bird I want to flap my wings so that I can fly,,0,,Backlog One for P1 (example),0,False,False,55,None,None,None,None,Praveen,Praveen,2020-07-23 06:34:54.363211+00:00,2020-07-23 06:34:54.363205+00:00,Praveen,Digimonk,
Bird takes flight-5,As a Bird I want to flap my wings so that I can fly and beyond that perform flips and dives and flock together with other  birds,,0,,Backlog One for P1 (example),0,False,False,50,None,Pending,None,None,Praveen,Praveen,2020-07-23 06:34:54.394755+00:00,2020-07-23 06:34:54.394750+00:00,Praveen,Digimonk,
Eagle Soars,As an Eagle,,0,,Backlog for P2 (example),0,False,False,40,None,Pending,None,None,Praveen,Praveen,2020-07-23 06:34:54.426256+00:00,2020-07-23 06:34:54.426251+00:00,Praveen,Digimonk,
Eagle Soars-1,As an Eagle I want to glide,,0,,Backlog for P2 (example),0,False,False,65,None,Pending,None,None,Praveen,Praveen,2020-07-23 06:34:54.461548+00:00,2020-07-23 06:34:54.461542+00:00,Praveen,Digimonk,
Eagle Soars-2,As an Eagle I need to glide so that I can soar,,0,,Backlog for P2 (example),0,False,False,80,None,None,None,None,Praveen,Praveen,2020-07-23 06:34:54.492519+00:00,2020-07-23 06:34:54.492514+00:00,Praveen,Digimonk,
Eagle Soars-3,As an Eagle I want to glide so that I can soar and survey the lakes and mountains,,0,,Backlog for P2 (example),0,False,False,75,None,None,None,None,Praveen,Praveen,2020-07-23 06:34:54.523475+00:00,2020-07-23 06:34:54.523470+00:00,Praveen,Digimonk,
Bird takes flight-4,As a Bird I want to flap my wings so that I can fly and beyond that perform flips and dives,this is a statement that should receive a high readibility score,49,this is a statement that should receive a high readibility score,Backlog One for P1 (example),49,False,False,50,None,None,None,None,Praveen,Praveen,2020-07-23 06:34:55.371293+00:00,2020-07-23 06:34:55.371287+00:00,Praveen,Digimonk,
