Benefits_id,Benefits_title,Benefits_description,Use_in,created_by,created_dt,updated_by,updated_dt
AR_BENEFITE_350,I can soar,(example),,jitendra,2020-07-11 11:09:08.639122+00:00,jitendra,2020-07-11 11:09:08.639124+00:00,digimomk
AR_BENEFITE_351,I can recieve an audit,(example),,jitendra,2020-07-11 11:09:08.661062+00:00,jitendra,2020-07-11 11:09:08.661065+00:00,digimomk
AR_BENEFITE_352,I can manage partners,(example),,jitendra,2020-07-11 11:09:08.682606+00:00,jitendra,2020-07-11 11:09:08.682609+00:00,digimomk
AR_BENEFITE_353,Benefit 1,(edit as needed),,jitendra,2020-07-11 11:09:08.704528+00:00,jitendra,2020-07-11 11:09:08.704533+00:00,digimomk
AR_BENEFITE_354,Benefit 2,(edit as needed),,jitendra,2020-07-11 11:09:08.726826+00:00,jitendra,2020-07-11 11:09:08.726831+00:00,digimomk
AR_BENEFITE_355,Benefit 3,(edit as needed),,jitendra,2020-07-11 11:09:08.749201+00:00,jitendra,2020-07-11 11:09:08.749206+00:00,digimomk
AR_BENEFITE_356,Benefit 4,(edit as needed),,jitendra,2020-07-11 11:09:08.771537+00:00,jitendra,2020-07-11 11:09:08.771542+00:00,digimomk
AR_BENEFITE_357,Benefit 5,(edit as needed),,jitendra,2020-07-11 11:09:08.793824+00:00,jitendra,2020-07-11 11:09:08.793829+00:00,digimomk
AR_BENEFITE_358,Benefit 6,(edit as needed),,jitendra,2020-07-11 11:09:08.816199+00:00,jitendra,2020-07-11 11:09:08.816204+00:00,digimomk
AR_BENEFITE_359,Benefit 7,(edit as needed),,jitendra,2020-07-11 11:09:08.838476+00:00,jitendra,2020-07-11 11:09:08.838481+00:00,digimomk
AR_BENEFITE_360,Benefit 8,(edit as needed),,jitendra,2020-07-11 11:09:08.859535+00:00,jitendra,2020-07-11 11:09:08.859538+00:00,digimomk
