title,story_tri_part_text,acceptance_criteria,ac_readability_score,conversation,backlog_parent,convo_readability_score,autoscoring_on,archive_indicator,readiness_quality_score,story_points,user_story_status,User_story_type,ar_user,owner,created_by,created_dt,updated_dt,updated_by,organization_name,attachments
None,,,0,,None,0,False,False,0,None,None,None,None,None,Praveen,2020-07-30 10:35:06.964463+00:00,2020-07-30 10:35:06.964454+00:00,Praveen,Digimonk,
Enroll Partner,As a Partner Manager I want to enroll a qualified partner,,0,,Mmasters API Pilot (example),0,False,False,53,None,Pending,None,None,Praveen,Praveen,2020-07-30 10:35:07.257080+00:00,2020-07-30 10:35:07.257075+00:00,Praveen,Digimonk,
Disenroll Partner,As a proxy-test-partner-user I want to display so that I can recieve an audit,subject,36,subject,Mmasters API Pilot (example),36,False,False,70,None,Pending,None,None,Praveen,Praveen,2020-07-30 10:35:08.153974+00:00,2020-07-30 10:35:08.153969+00:00,Praveen,Digimonk,
Disenroll Partner-1,As a Eagle I want to glide so that I can manage partners,testing,36,,Mmasters API Pilot (example),0,False,False,88,None,None,None,None,Praveen,Praveen,2020-07-30 10:35:08.612860+00:00,2020-07-30 10:35:08.612854+00:00,Praveen,Digimonk,
Disenroll Partner-2,As a Partner Manager I require disenrollment so that I can manage partners,,0,,Mmasters API Pilot (example),0,False,False,68,None,None,None,None,Praveen,Praveen,2020-07-30 10:35:08.642926+00:00,2020-07-30 10:35:08.642921+00:00,Praveen,Digimonk,
Submit Rpt,As a proxy-test-partner-user I want to select a Type1 report so that I can send it,,0,,Mmasters API Pilot (example),0,False,False,65,None,Pending,None,None,Praveen,Praveen,2020-07-30 10:35:08.673497+00:00,2020-07-30 10:35:08.673492+00:00,Praveen,Digimonk,
Submit Rpt -1,As a proxy-test-partner-user I want to display available Type1 reports so that I can select which to review before sending,,0,,Mmasters API Pilot (example),0,False,False,60,None,None,None,None,Praveen,Praveen,2020-07-30 10:35:08.703600+00:00,2020-07-30 10:35:08.703595+00:00,Praveen,Digimonk,
Submit Rpt -2,As a proxy-test-partner-user I want to review all sent Type1 reports for a custom time period so that I can support an audit,,0,,Mmasters API Pilot (example),0,False,False,60,None,Pending,None,None,Praveen,Praveen,2020-07-30 10:35:08.733984+00:00,2020-07-30 10:35:08.733979+00:00,Praveen,Digimonk,
Submit Rpt -3,As a proxy-test-partner-user I want to review all sent Type1 reports for a custom time period so that I can receive an audit,,0,,Mmasters API Pilot (example),0,False,False,60,None,None,None,None,Praveen,Praveen,2020-07-30 10:35:08.773991+00:00,2020-07-30 10:35:08.773986+00:00,Praveen,Digimonk,
Bird takes flight,Bird,,0,,Backlog One for P1 (example),0,False,False,15,None,Pending,None,None,Praveen,Praveen,2020-07-30 10:35:08.821890+00:00,2020-07-30 10:35:08.821884+00:00,Praveen,Digimonk,
