title,story_tri_part_text,acceptance_criteria,ac_readability_score,conversation,backlog_parent,convo_readability_score,autoscoring_on,archive_indicator,readiness_quality_score,story_points,user_story_status,User_story_type,ar_user,owner,created_by,created_dt,updated_dt,updated_by,organization_name,attachments
None,,,0,,None,0,False,False,0,None,None,None,None,None,Praveen,2020-06-24 10:00:43.400440+00:00,2020-06-24 10:00:43.400427+00:00,Praveen,Digimonk,/media/None
Enroll Partner,As a Partner Manager I want to enroll a qualified partner,,0,,Mmasters API Pilot (example),0,False,False,53,None,Pending,None,None,Praveen,Praveen,2020-06-24 10:00:44.837948+00:00,2020-06-24 10:00:44.837943+00:00,Praveen,Digimonk,/media/None
Disenroll Partner,As a proxy-test-partner-user I want to display so that I can recieve an audit,subject,36,subject,Mmasters API Pilot (example),36,False,False,70,None,Pending,None,None,Praveen,Praveen,2020-06-24 10:00:45.748244+00:00,2020-06-24 10:00:45.748238+00:00,Praveen,Digimonk,/media/None
Disenroll Partner-1,As a Eagle I want to glide so that I can manage partners,testing,36,,Mmasters API Pilot (example),0,False,False,88,None,None,None,None,Praveen,Praveen,2020-06-24 10:00:46.184711+00:00,2020-06-24 10:00:46.184704+00:00,Praveen,Digimonk,/media/None
Disenroll Partner-2,As a Partner Manager I require disenrollment so that I can manage partners,,0,,Mmasters API Pilot (example),0,False,False,68,None,None,None,None,Praveen,Praveen,2020-06-24 10:00:46.209186+00:00,2020-06-24 10:00:46.209181+00:00,Praveen,Digimonk,/media/None
Submit Rpt,As a proxy-test-partner-user I want to select a Type1 report so that I can send it,,0,,Mmasters API Pilot (example),0,False,False,65,None,Pending,None,None,Praveen,Praveen,2020-06-24 10:00:46.233674+00:00,2020-06-24 10:00:46.233669+00:00,Praveen,Digimonk,/media/None
Submit Rpt -1,As a proxy-test-partner-user I want to display available Type1 reports so that I can select which to review before sending,,0,,Mmasters API Pilot (example),0,False,False,60,None,None,None,None,Praveen,Praveen,2020-06-24 10:00:46.258703+00:00,2020-06-24 10:00:46.258698+00:00,Praveen,Digimonk,/media/None
Submit Rpt -2,As a proxy-test-partner-user I want to review all sent Type1 reports for a custom time period so that I can support an audit,,0,,Mmasters API Pilot (example),0,False,False,60,None,Pending,None,None,Praveen,Praveen,2020-06-24 10:00:46.286470+00:00,2020-06-24 10:00:46.286464+00:00,Praveen,Digimonk,/media/None
Submit Rpt -3,As a proxy-test-partner-user I want to review all sent Type1 reports for a custom time period so that I can receive an audit,,0,,Mmasters API Pilot (example),0,False,False,60,None,None,None,None,Praveen,Praveen,2020-06-24 10:00:46.311845+00:00,2020-06-24 10:00:46.311840+00:00,Praveen,Digimonk,/media/None
Bird takes flight,Bird,,0,,Backlog One for P1 (example),0,False,False,15,None,Pending,None,None,Praveen,Praveen,2020-06-24 10:00:46.337162+00:00,2020-06-24 10:00:46.337157+00:00,Praveen,Digimonk,/media/None
Enroll Partner-1,As a Partner Manager I want to enroll a qualified partner so that I can access new FedReserve reporting screens,,0,,Mmasters API Pilot (example),0,False,False,63,None,Pending,None,None,Praveen,Praveen,2020-06-24 10:00:46.362521+00:00,2020-06-24 10:00:46.362515+00:00,Praveen,Digimonk,/media/None
Bird takes flight-1,As a Bird takes flight,,0,,Backlog One for P1 (example),0,False,False,30,None,None,None,None,Praveen,Praveen,2020-06-24 10:00:46.387294+00:00,2020-06-24 10:00:46.387288+00:00,Praveen,Digimonk,/media/None
Bird takes flight-2,As a Bird I want to flap my wings,,0,,Backlog One for P1 (example),0,False,False,45,None,None,None,None,Praveen,Praveen,2020-06-24 10:00:46.412001+00:00,2020-06-24 10:00:46.411996+00:00,Praveen,Digimonk,/media/None
Bird takes flight-3,As a Bird I want to flap my wings so that I can fly,,0,,Backlog One for P1 (example),0,False,False,55,None,None,None,None,Praveen,Praveen,2020-06-24 10:00:46.436909+00:00,2020-06-24 10:00:46.436903+00:00,Praveen,Digimonk,/media/None
Bird takes flight-5,As a Bird I want to flap my wings so that I can fly and beyond that perform flips and dives and flock together with other  birds,,0,,Backlog One for P1 (example),0,False,False,50,None,Pending,None,None,Praveen,Praveen,2020-06-24 10:00:46.462163+00:00,2020-06-24 10:00:46.462157+00:00,Praveen,Digimonk,/media/None
Eagle Soars,As an Eagle,,0,,Backlog for P2 (example),0,False,False,40,None,Pending,None,None,Praveen,Praveen,2020-06-24 10:00:46.487404+00:00,2020-06-24 10:00:46.487398+00:00,Praveen,Digimonk,/media/None
Eagle Soars-1,As an Eagle I want to glide,,0,,Backlog for P2 (example),0,False,False,65,None,Pending,None,None,Praveen,Praveen,2020-06-24 10:00:46.512645+00:00,2020-06-24 10:00:46.512639+00:00,Praveen,Digimonk,/media/None
Eagle Soars-2,As an Eagle I need to glide so that I can soar,,0,,Backlog for P2 (example),0,False,False,80,None,None,None,None,Praveen,Praveen,2020-06-24 10:00:46.537536+00:00,2020-06-24 10:00:46.537530+00:00,Praveen,Digimonk,/media/None
Eagle Soars-3,As an Eagle I want to glide so that I can soar and survey the lakes and mountains,,0,,Backlog for P2 (example),0,False,False,75,None,None,None,None,Praveen,Praveen,2020-06-24 10:00:46.562240+00:00,2020-06-24 10:00:46.562234+00:00,Praveen,Digimonk,/media/None
Bird takes flight-4,As a Bird I want to flap my wings so that I can fly and beyond that perform flips and dives,this is a statement that should receive a high readibility score,49,this is a statement that should receive a high readibility score,Backlog One for P1 (example),49,False,False,50,None,None,None,None,Praveen,Praveen,2020-06-24 10:00:47.378556+00:00,2020-06-24 10:00:47.378550+00:00,Praveen,Digimonk,/media/None
