IterationName,owner,StartDate,EndDate,Description,Product,Backlog,UserStory,Team,IterationScore,IterationSize,create_by,create_dt,update_by,update_dt,IterationId,organization_name
Iteration 1 for Product P1,jitendra,2020-02-03,2020-02-14,An iteration (sprint) is a time interval or timebox that an agile team uses to perform software development work.,None,None,,FlexTeam (example),0,0,jitendra,2020-07-10 11:22:06.999867+00:00,jitendra,2020-07-10 11:22:06.999878+00:00,AR_ITER_328,digimomk
Iteration 2 for Product P1,jitendra,2020-02-17,2020-02-28,This is an example iteration for training purposes,None,Backlog for P2 (example),,Team-T1 (example),0,0,jitendra,2020-07-10 11:22:07.026370+00:00,jitendra,2020-07-10 11:22:07.026378+00:00,AR_ITER_329,digimomk
Sprint 1 for Product P2,jitendra,2020-03-02,2020-03-13,This is an example iteration for training purposes,None,None,,None,0,0,jitendra,2020-07-10 11:22:07.051893+00:00,jitendra,2020-07-10 11:22:07.051901+00:00,AR_ITER_330,digimomk
Sprint 2 for Product P2,jitendra,2020-03-16,2020-03-27,This is an example iteration for training purposes,None,None,,None,0,0,jitendra,2020-07-10 11:22:07.077323+00:00,jitendra,2020-07-10 11:22:07.077331+00:00,AR_ITER_331,digimomk
Iteration 1 for BestEverM,jitendra,2020-03-02,2020-03-13,This is an example iteration for training purposes,None,None,,None,0,0,jitendra,2020-07-10 11:22:07.102748+00:00,jitendra,2020-07-10 11:22:07.102757+00:00,AR_ITER_332,digimomk
Iteration 2 for BestEverM,jitendra,2020-03-16,2020-03-27,This is an example iteration for training purposes,None,None,,None,0,0,jitendra,2020-07-10 11:22:07.128172+00:00,jitendra,2020-07-10 11:22:07.128180+00:00,AR_ITER_333,digimomk
Iteration 1 for API,jitendra,2020-03-16,2020-03-27,This is an example iteration for training purposes,None,None,,None,0,0,jitendra,2020-07-10 11:22:07.154765+00:00,jitendra,2020-07-10 11:22:07.154778+00:00,AR_ITER_334,digimomk
Iteration 2 for API,jitendra,2020-03-30,2020-04-10,This is an example iteration for training purposes,None,None,,None,0,0,jitendra,2020-07-10 11:22:07.181253+00:00,jitendra,2020-07-10 11:22:07.181264+00:00,AR_ITER_335,digimomk
Feb Cycle (1) for BestEverM,jitendra,2020-02-01,2020-02-28,For a Kanban Team a Cycle is a proxy iteration for tracking and organization purposes,None,None,,None,0,0,jitendra,2020-07-10 11:22:07.208352+00:00,jitendra,2020-07-10 11:22:07.208363+00:00,AR_ITER_336,digimomk
Mar Cycle (2) for BestEverM,jitendra,2020-03-01,2020-03-31,For a Kanban Team a Cycle is a proxy iteration for tracking and organization purposes,None,None,,None,0,0,jitendra,2020-07-10 11:22:07.235358+00:00,jitendra,2020-07-10 11:22:07.235370+00:00,AR_ITER_337,digimomk
